pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_termos_12m,rescindido_12m,acrescimo_12m,prazo_12m,label_adverso_12m,label_v1_sem_horizonte
00509018000113-2-000493/2025,TSE,2025-03-14,6121.0,288,Compras,200000,12.93,EMPRESA DE PEQUENO PORTE,1,1,0,32.6744,5,0,0,0.0,0,0,0
00509018000113-2-000494/2025,TSE,2025-03-18,824000.0,365,Serviços,1650000,15.7,MICRO EMPRESA,1,1,0,2.002427,4,0,0,0.0,0,0,0
00509018000113-2-000496/2025,TSE,2025-03-17,15634.0,289,Serviços,1000000,23.51,DEMAIS,0,1,0,63.963157,45,0,0,0.0,0,0,0
00509018000113-2-000500/2025,TSE,2025-03-18,9780.0,2,Serviços,150000,13.79,DEMAIS,0,1,0,15.337423,59,0,0,0.0,0,0,0
00509018000113-2-000506/2025,TSE,2025-03-19,36240.0,365,Informática (TIC),475203,13.68,DEMAIS,,1,0,13.112666,2,2,0,0.0,732,1,1
00509018000113-2-000514/2025,TSE,2025-03-19,12960.0,364,Compras,181000,5.54,DEMAIS,,1,0,13.966049,16,0,0,0.0,0,0,0
00509018000113-2-000518/2025,TSE,2025-03-20,2390.0,4,Serviços,610000,11.85,MICRO EMPRESA,1,1,0,255.230126,46,0,0,0.0,0,0,0
00509018000113-2-000521/2025,TSE,2025-03-19,10000.0,22,Serviços,5000,15.36,MICRO EMPRESA,1,1,0,0.5,3,0,0,0.0,0,0,0
00509018000113-2-000522/2025,TSE,2025-03-20,5000.0,19,Serviços,10000,4.24,MICRO EMPRESA,1,1,0,2.0,1,0,0,0.0,0,0,0
00509018000113-2-000523/2025,TSE,2025-03-14,1800.0,90,Serviços,,,,,0,0,,0,0,0,0.0,0,0,0
00509018000113-2-000525/2025,TSE,2025-03-14,360.0,90,Serviços,0,46.92,DEMAIS,,1,0,,3,0,0,0.0,0,0,0
00509018000113-2-000377/2025,TSE,2025-02-27,30000.0,23,Serviços,3000,39.38,DEMAIS,,1,0,0.1,1,0,0,0.0,0,0,0
00509018000113-2-000378/2025,TSE,2025-02-20,1897.0,314,Serviços,20000,10.47,EMPRESA DE PEQUENO PORTE,1,1,0,10.542963,50,0,0,0.0,0,0,0
00509018000113-2-000379/2025,TSE,2025-02-21,470.0,313,Serviços,0,8.03,DEMAIS,,1,0,,2,0,0,0.0,0,0,0
00509018000113-2-000385/2025,TSE,2025-03-06,1329.0,300,Serviços,1000000,23.48,DEMAIS,0,1,0,752.445448,45,0,0,0.0,0,0,0
00509018000113-2-000426/2025,TSE,2025-03-07,24600.0,365,Serviços,5000,19.17,DEMAIS,,1,0,0.203252,78,0,0,0.0,0,0,0
00509018000113-2-000524/2025,TSE,2025-03-20,12521.95,286,Compras,50000,9.43,EMPRESA DE PEQUENO PORTE,1,1,0,3.992988,9,0,0,0.0,0,0,0
