pncp,valor_global,duracao_dias,categoria,forn_capital_social,forn_idade_anos,forn_vol_nacional,forn_n_contratos_nac,forn_razao_capital_volume,forn_crescimento_recente,prob_heuristica_ex_ante,prob_heuristica_observada,imp_heuristica,label_desfecho_adverso
00531640000128-2-000091/2023,500.0,727,Compras,,,,,,,2,2,1,1
00531640000128-2-000091/2023,500.0,727,Compras,,,,,,,2,2,1,1
00531640000128-2-000125/2023,14238.0,395,Compras,,,,,,,2,2,1,0
00531640000128-2-000090/2023,51779.0,365,Compras,,,,,,,2,2,3,0
00531640000128-2-000090/2023,51779.0,365,Compras,,,,,,,2,2,3,0
00531640000128-2-000124/2023,14608.0,395,Compras,,,,,,,2,2,1,0
00531640000128-2-000014/2023,0,365,Serviços,,,,,,,2,2,1,0
00531640000128-2-000078/2023,1597734.47,375,Obras,,,,,,,2,2,5,0
00531640000128-2-000078/2023,1597734.47,375,Obras,,,,,,,2,2,5,0
00531640000128-2-000078/2023,1597734.47,375,Obras,,,,,,,2,2,5,0
00531640000128-2-000089/2023,8930.85,365,Serviços,,,,,,,2,2,1,0
00531640000128-2-000089/2023,8930.85,365,Serviços,,,,,,,2,2,1,0
00531640000128-2-000123/2023,184691.88,1095,Serviços,,,,,,,2,3,4,1
00531640000128-2-000088/2023,37500.0,1826,Serviços,,,,,,,2,2,2,0
00531640000128-2-000088/2023,37500.0,1826,Serviços,,,,,,,2,2,2,0
00531640000128-2-000003/2023,1889515.2,730,Cessão,,,,,,,2,2,5,0
00531640000128-2-000009/2023,1144.85,1460,Serviços,,,,,,,2,3,1,1
00531640000128-2-000012/2023,19500.0,730,Serviços,,,,,,,2,2,2,0
00531640000128-2-000084/2023,58541.93,1460,Compras,,,,,,,2,3,3,1
00531640000128-2-000084/2023,58541.93,1460,Compras,,,,,,,2,3,3,1
00531640000128-2-000084/2023,58541.93,1460,Compras,,,,,,,2,3,3,1
00531640000128-2-000085/2023,9984.0,1460,Serviços,,,,,,,2,3,1,1
00531640000128-2-000129/2023,4297182.51,1554,Serviços,,,,,,,2,2,5,0
00531640000128-2-000083/2023,22800.0,118,Serviços,,,,,,,1,1,2,0
00531640000128-2-000083/2023,22800.0,118,Serviços,,,,,,,1,1,2,0
00531640000128-2-000083/2023,22800.0,118,Serviços,,,,,,,1,1,2,0
00531640000128-2-000086/2023,20700.0,365,Compras,,,,,,,2,2,2,0
00531640000128-2-000007/2023,36300.0,395,Compras,,,,,,,2,2,2,0
00531640000128-2-000008/2023,33600.0,365,Serviços,,,,,,,2,2,2,0
