pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_aditivos,rescindido,acrescimo_pct,prazo_extra_dias,label_desfecho_adverso
00509968000148-2-001176/2026,TST,2026-05-21,3529148.39,1826,Informática (TIC),22836339000,34.08,DEMAIS,,1,0,6470.778918,25,0,0,0.0,0,0
00509968000148-2-001194/2026,TST,2026-05-22,32720.0,119,Serviços,150000,8.57,MICRO EMPRESA,1,1,0,4.584352,1,0,0,0.0,0,0
00509968000148-2-001199/2026,TST,2026-05-21,4650.0,224,Compras,0,24.44,DEMAIS,,1,0,,4,0,0,0.0,0,0
00509968000148-2-001207/2026,TST,2026-04-29,54600.0,46,Compras,60000,3.82,MICRO EMPRESA,1,1,0,1.098901,7,0,0,0.0,0,0
00509968000148-2-001208/2026,TST,2026-04-29,2089.0,46,Compras,300000,36.81,EMPRESA DE PEQUENO PORTE,1,1,0,143.609382,42,0,0,0.0,0,0
00509968000148-2-001255/2026,TST,2026-05-15,30000.0,8,Serviços,10000,17.32,MICRO EMPRESA,1,1,0,0.333333,2,0,0,0.0,0,0
00509968000148-2-001256/2026,TST,2026-05-22,22860.0,223,Serviços,3423447.2,32.29,DEMAIS,,1,0,149.757095,203,0,0,0.0,0,0
00509968000148-2-001260/2026,TST,2026-05-21,5700.0,224,Serviços,10000,23.24,EMPRESA DE PEQUENO PORTE,,1,0,1.754386,15,0,0,0.0,0,0
00509968000148-2-001261/2026,TST,2026-05-14,1880.0,231,Compras,800000,4.45,MICRO EMPRESA,0,1,0,425.531915,1,0,0,0.0,0,0
00509968000148-2-001262/2026,TST,2026-05-19,1586.75,29,Serviços,,,,,0,0,,0,0,0,0.0,0,0
00509968000148-2-001204/2026,TST,2026-04-29,19330.0,21,Compras,60000,3.82,MICRO EMPRESA,1,1,0,3.103983,7,0,0,0.0,0,0
